,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,2.79,0.5,1.93,3.78,0.02,0.01,945.33,1249.45,1.0
delta_h,5.41,0.81,3.92,6.88,0.02,0.02,1165.19,1154.06,1.0
z_R,0.08,0.01,0.06,0.11,0.0,0.0,1774.96,1486.44,1.0
mu_R,2.57,2.03,0.11,5.59,0.07,0.06,1663.12,848.79,1.0
sigma_R,2.95,3.58,0.17,8.42,0.09,0.06,1298.09,1245.95,1.0
z_H,0.08,0.01,0.05,0.11,0.0,0.0,2002.88,2105.42,1.0
mu_H,3.65,5.46,0.08,7.83,0.69,0.49,372.19,102.45,1.01
sigma_H,3.31,3.89,0.23,8.55,0.1,0.07,1291.45,1529.19,1.0
z_S,0.15,0.04,0.08,0.22,0.0,0.0,1554.77,1608.85,1.0
sigma_model,0.21,0.03,0.16,0.27,0.0,0.0,963.02,423.75,1.0
k[0],0.46,0.08,0.32,0.63,0.0,0.0,945.33,1249.45,1.0
k[1],0.46,0.08,0.32,0.63,0.0,0.0,945.33,1249.45,1.0
k[2],0.46,0.08,0.32,0.63,0.0,0.0,945.33,1249.45,1.0
k[3],0.46,0.08,0.32,0.63,0.0,0.0,945.33,1249.45,1.0
k[4],0.45,0.08,0.31,0.61,0.0,0.0,945.33,1249.45,1.0
k[5],0.45,0.08,0.31,0.61,0.0,0.0,945.33,1249.45,1.0
k[6],0.45,0.08,0.31,0.61,0.0,0.0,945.33,1249.45,1.0
k[7],0.45,0.08,0.31,0.61,0.0,0.0,945.33,1249.45,1.0
k[8],0.45,0.08,0.31,0.61,0.0,0.0,945.33,1249.45,1.0
k[9],0.35,0.06,0.25,0.48,0.0,0.0,945.33,1249.45,1.0
k[10],0.35,0.06,0.25,0.48,0.0,0.0,945.33,1249.45,1.0
k[11],0.35,0.06,0.25,0.48,0.0,0.0,945.33,1249.45,1.0
k[12],0.35,0.06,0.25,0.48,0.0,0.0,945.33,1249.45,1.0
k[13],0.27,0.05,0.19,0.36,0.0,0.0,945.33,1249.45,1.0
k[14],0.27,0.05,0.19,0.36,0.0,0.0,945.33,1249.45,1.0
k[15],0.27,0.05,0.19,0.36,0.0,0.0,945.33,1249.45,1.0
k[16],0.27,0.05,0.19,0.36,0.0,0.0,945.33,1249.45,1.0
k[17],0.21,0.04,0.14,0.28,0.0,0.0,945.33,1249.45,1.0
k[18],0.21,0.04,0.14,0.28,0.0,0.0,945.33,1249.45,1.0
k[19],0.21,0.04,0.14,0.28,0.0,0.0,945.33,1249.45,1.0
k[20],0.21,0.04,0.14,0.28,0.0,0.0,945.33,1249.45,1.0
k[21],0.21,0.04,0.14,0.28,0.0,0.0,945.33,1249.45,1.0
k[22],0.18,0.03,0.12,0.24,0.0,0.0,945.33,1249.45,1.0
k[23],0.18,0.03,0.12,0.24,0.0,0.0,945.33,1249.45,1.0
k[24],0.18,0.03,0.12,0.24,0.0,0.0,945.33,1249.45,1.0
k[25],0.18,0.03,0.12,0.24,0.0,0.0,945.33,1249.45,1.0
k[26],0.16,0.03,0.11,0.21,0.0,0.0,945.33,1249.45,1.0
k[27],0.16,0.03,0.11,0.21,0.0,0.0,945.33,1249.45,1.0
